Price,Beds,Bath,Sq.Ft
749900,5,3.5,1871
365000,2,2,766
599000,3,2.5,1148
219900,2,2,820
629900,4,3.5,1510
830000,6,4,2479
289900,2,2,776
475000,3,2,960
399800,2,2,1101
374000,2,2,994
724900,4,2.5,1352
539000,5,2,1083
599000,3,2.5,1713
999900,5,3.5,2487
539900,4,2,1023
344900,3,2,885
635000,5,3,1245
299000,2,2,844
789999,4,3.5,2069
399900,2,2,902
545000,2,1.5,1005
389900,2,2,638
620000,4,2.5,2324
525000,4,3,1246
1100000,4,3.5,2025
1095000,2,2.5,1921
825000,4,3.5,2249
457500,3,2,969
299000,1,1,582
459000,5,1,1022
339990,3,2,845
685000,5,3.5,1356
669900,5,3.5,1357
299900,1,1,658
223000,2,2,824
485000,3,1,802
649900,3,2.5,1402
374900,2,2,1036
849900,4,3,1232
569900,4,3.5,1475
709900,3,2.5,1025
949900,4,3.5,1959
400000,5,2,1100
527875,3,2.5,1426
799800,4,3.5,1529
699888,4,3,1044
440000,2,2.5,1290
392900,3,1.5,1038
575000,3,2.5,1428
289000,1,1,650
339900,2,2,766
399900,3,2.5,1100
244900,2,1,540
669000,3,2.5,1955
700000,2,2,1482
500000,4,2.5,1106
289900,2,1,935
925000,5,3.5,2368
820000,4,3.5,1737
225000,2,1,765
625000,4,1.5,1174
615000,5,2,1149
649888,4,2.5,1487
790000,5,3.5,1770
814900,3,3,2373
565000,4,2.5,1509
485000,4,1.5,1093
550000,3,2.5,1550
649900,6,3,1448
375000,2,2,910
320000,2,2,996
1349000,3,3.5,2046
425000,2,2,759
389900,2,2,992
1450000,3,2,2439
409900,3,1.5,1240
545000,4,3.5,1323
645000,3,1.5,681
529500,4,3.5,1245
864999,4,3.5,2380
877695,3,2.5,1201
990000,6,4,2931
935000,3,2,1230
515000,3,3.5,1311
1399900,5,3.5,2629
489900,4,2,973
375000,2,1.5,531
1499900,3,3.5,3220
839000,4,3.5,2102
365000,2,2,843
430000,2,2,985
358000,2,2,874
369000,2,2,891
524900,3,2.5,1186
1499900,5,3,2470
624900,2,2,1623
718500,2,2.5,1218
749900,3,2.5,1558
699900,2,2,1566
459900,2,3.5,1423
675000,4,3.5,1752
2224900,6,3.5,3071
309900,1,1,641
440000,2,2.5,1261
2350000,2,2.5,2882
475000,3,2.5,1524
679000,4,3.5,2191
320000,2,2,926
220000,1,1,627
298800,2,2,851
675500,3,2.5,1809
775000,4,3.5,2239
1149900,3,2.5,2544
760000,4,3.5,1890
949900,4,3.5,2530
1750000,5,3.5,2618
249900,2,1,846
579000,4,4,1012
949900,4,4.5,1882
299800,2,2,841
749900,4,3.5,2120
299900,1,1,788
873000,3,3.5,2884
329000,2,2,867
499900,4,2,979
480000,3,2,1138
649000,3,2.5,1167
309990,2,2,738
449000,2,2,1077
699800,2,2,901
749900,5,3.5,2432
329000,2,2,870
349900,2,2,849
650000,3,2,1222
1163900,3,3,2619
334900,2,2,723
235000,2,1,791
1325000,6,4.5,2814
359900,1,1,500
259999,2,1,570
314800,2,2,838
350000,2,2,843
875000,3,3.5,1686
835000,3,2.5,2327
250000,2,1,838
850000,5,2.5,1313
249900,2,1,785
649900,3,2.5,1647
539900,3,1,933
269900,3,1,1012
749900,1,2,1127
935000,4,3.5,2337
488884,4,2,949
540000,4,2,1078
464900,3,2,1078
1648888,3,2.5,2113
295000,2,1,752
849900,3,2.5,2467
350000,2,2,814
185000,1,1,631
799900,4,3.5,2020
369000,2,2,849
1800000,3,3.5,2885
295000,2,2,976
389900,3,1.5,1165
143900,1,1,504
599000,3,3.5,1265
948000,4,3.5,1741
739900,4,3,2220
499000,4,2.5,1397
249900,2,1,755
649000,5,2,1051
1995000,4,3.5,2640
585000,4,3,1227
739900,4,3.5,1952
289900,1,1,543
549900,3,2.5,1398
1249900,6,5.5,2182
775000,5,3.5,2103
625000,3,2.5,1780
339000,2,2,991
580000,3,2,682
469900,1,1,497
499000,2,2,1600
614900,3,2.5,1353
819800,5,2.5,2592
529900,2,2.5,1541
1299000,6,3.5,2852
1499000,4,4.5,2504
550000,4,2,1034
400000,2,2,1133
1375000,4,3.5,2425
695000,4,2.5,2057
239900,2,1,707
255000,1,1.5,724
1725000,6,5.5,4318
365000,2,2,898
